,S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore,Market Cap-to-Sales Ratio
465,478,Repco Home Fin,3331.08,277.48,12.004757099610782
466,479,Sonata Software,3329.58,766.75,4.3424584284316925
468,481,Puravankara,3274.9,440.09,7.441432434274808
469,482,Tejas Networks,3209.89,229.87,13.963936137817026
470,483,ITD Cem,3192.67,472.98,6.750116283986638
471,484,Hathway Cable,3189.1,138.65,23.001081860800575
472,485,Dhanuka Agritech,3188.62,221.51,14.394925736987043
473,486,Mahindra Logis.,3187.51,835.06,3.817102962661366
474,487,Heritage Foods,3185.45,581.74,5.4757279884484475
475,488,Mah. Seamless,3164.73,563.66,5.6146080970798
476,489,Navneet Educat.,3148.36,174.41,18.051487873401754
477,490,Firstsour.Solu.,3139.94,887.24,3.5389973400658223
479,492,Star Ferro Cem.,3115.98,393.49,7.918828941015019
480,493,Deepak Fert.,3079.06,1644.92,1.8718600296670962
481,494,Va Tech Wabag,3041.93,460.89,6.600121504046519
482,495,Prime Focus,3031.5,609.61,4.972851495218254
483,496,Lak. Vilas Bank,3029.57,790.17,3.8340736803472675
484,497,NOCIL,3026.26,249.27,12.14049023147591
485,498,Orient Cement,3024.32,511.53,5.912302308759995
486,499,Natl.Fertilizer,3017.07,2840.75,1.0620681158144856
